"tarjim","pilih"
"about","kira-kira"
"about","kurang lebih"
"know","cam"
"know","difahami"
"know","diketahui"
"know","faham"
"know","kenal"
"will","akan"
"will","akan ; mau"
"will","azam"
"will","bakalan"
"will","berkehendakkan"
"will","bisa"
"will","dapat"
"as","bak"
"as","laksana"
"up","atas"
"up","bringing"
"up","di atas"
"up","ke atas"
"up","menaikkan"
"up","meninggikan"
"up","naik"
"time","jam"
"time","kala"
"time","kali"
"time","kalinya"
"time","ketika"
"time","masa"
"time","masa ; waktu"
"there","ada"
"there","dari sana"
"there","di sana"
"there","itulah!"
"there","ke sana"
"there","nampaknya"
"there","sana"
"year","tahun"
"year","umur"
"year","usia"
"so","begini"
"so","begini , begitu , begini , begitu , begini , begitu ."
"so","begitu"
"so","begitu ; jadi-nya ; maka"
"so","demikian"
"so","itu"
"so","jadi"
"think","berfikir"
"think","berfikir ; mengingat"
"think","berfikirlah"
"when","apabila"
"when","apabila ; apakala ; bila ; demi ; ketika ; tatkala"
"when","bila"
"when","bilamana"
"when","demi"
"when","kapan"
"when","ketika"
"when","manakala"
"when","pabila"
"when","tatkala"
"which","siapa"
"which","yang"
"which","yang mana"
"which","yg"
"them","mereka"
"some","agak"
"some","beberapa"
"some","istimewa"
"some","sedikit"
"some","seseorang"
"some","sesetengah"
"some","setengah"
"some","setengah-setengah"
"people","bangsa"
"people","kaum"
"people","orang"
"people","orang-orang"
"people","orangkah"
"people","penduduk"
"people","rakyat"
"out","keluar"
"out","ketahuan"
"out","luar"
"out","melebihi"
"out","of"
"out","pengsan"
"out","spoken"
"out","tanpa"
"out","terbit"
"into","jadi"
"into","ke dalam"
"into","kepada"
"into","masuk"
"into","menjadi"
"just","adil"
"just","adil ; sahaja ; saksama ; sebaik-baik ; sekadar"
"just","aja"
"just","aje"
"just","ajelah"
"just","baharu"
"just","betul-betul"
"see","bertemu"
"see","bertemujanji"
"see","dilihat"
"see","jumpa"
"see","liat"
"see","lihat"
"see","lihat , kunjungi , mengunjungi ."
"him","beliau"
"him","dia"
"him","ia"
"him","nya"
"come","datang"
"come","datang-datang"
"come","hayo"
"come","mari"
"come","sampai"
"come","tiba"
"could","tolong"
"now","kerana"
"now","kini"
"now","kini ; sekarang"
"now","masa kini"
"now","sekarang"
"now","sekaranglah"
"than","daripada"
"other","lain"
"other","lain-lain"
"other","lainnya"
"other","orang lain"
"how","alangkah"
"how","alangkah ; bagaimana"
"how","bagaimana"
"how","gimana"
"how","manalah"
"then","kemudian"
"then","kemudian ; maka ; syahdan"
"then","ketika"
"then","masa"
"then","terus"
"then","waktu"
"its","kepunyaannya"
"its","milikannya"
"its","nya"
"our","kami"
"our","kita"
"two","dua"
"two","fold"
"more","adat"
"more","jumlah"
"more","lagi"
"more","lagi ; lebih"
"more","lebih"
"more","secara berlebihan"
"more","yang lebih"
"these","ini"
"want","berhasrat"
"want","berkehendakkan ; mahu"
"want","hasrat"
"want","hendak"
"want","hendak , memerlukan , mahu ; ke karangan , ketiadaan , kemahuan ."
"way","adat , kebiasaan , cara ."
"way","arah"
"way","cara"
"way","cara ; jalan ; ragam"
"way","gaya"
"way","jalan"
"way","jalan , lorong , cara ."
"look","cari"
"look","dicari"
"first","born"
"first","bungar"
"first","bungaran"
"first","dahulu"
"first","dulu"
"first","mula"
"also","jua"
"also","jua ; juga ; lagi ; pula ; pun"
"also","juga"
"also","jugalah"
"also","pula"
"also","pulak"
"also","pun"
"also","pun , juga , pula dan lain daripada itu ."
"new","baharu"
"new","baharu ; baru"
"new","baru"
"new","bharu"
"because","dek"
"because","karena"
"because","kerana"
"because","kerana ; sebab"
"because","oleh"
"because","oleh sebab"
"because","sebab"
"because","sebab , oleh sebab , oleh kerana ."
"day","hari"
"day","hari , siang , masa ."
"day","siang"
"more","adat"
"more","jumlah"
"more","lagi"
"more","lagi ; lebih"
"more","lebih"
"more","secara berlebihan"
"more","yang lebih"
"use","dipakai"
"no","bukan"
"no","enggak"
"no","nggak"
"no","tak"
"no","tak ; tiada ; tidak"
"no","tiada"
"man","i) manusia , orang biasa , laki-laki dewasa (ii) menempatkan orang untuk tujuan perkhidmatan atau pertahanan ."
"man","insan"
"man","lelaki"
"man","manusia"
"man","mengawal"
"man","mengoperasi"
"man","orang"
"man","orang laki-laki"
"man","pekerja"
"find","cari"
"find","dapat"
"find","jumpa"
"find","jumpaan"
"find","jumpai"
"find","memperoleh"
"find","mencari"
"find","mendapat"
"here","di sini"
"here","ini"
"here","nih"
"here","sini"
"here","sinilah"
"here","tempat ini"
"thing","barang"
"thing","benda"
"thing","benda , benda ."
"thing","keadaan"
"thing","kepunyaan"
"thing","perkakas"
"give","anugerah"
"give","bagi"
"give","bagi ; beri ; kasi"
"give","beri"
"give","beri , memberi ."
"give","berikan"
"give","berikanlah"
"give","berilah"
"give","diberi"
"well","bagus"
"well","baik"
"well","bersungguh-sungguh"
"well","elok"
"well","melimpah"
"well","mengalir"
"well","perigi"
"well","perigi ; telaga"
"only","aja"
"only","aje"
"only","cuma"
"only","cuma ; hanya ; sahaja ; sekadar"
"those","itu"
"those","tuh"
"very","amat"
"very","amat ; benar-benar ; sangat"
"very","asangat"
"very","banget"
"her","dia"
"her","ia"
"her","kepunyaannya"
"her","nya"
"back","balik"
"back","bantu ; belakang ; punggung"
"back","basket"
"back","bek"
"back","belakang"
"back","belakang , bahagian belakang , punggung ."
"back","di balik"
"back","di belakang"
"back","di punggung"
"any","apa saja"
"any","apa-apa"
"any","sebarang"
"any","sebarang , apa-apa juga , barang apa ."
"any","sebarang ; sembarangan"
"good","bagus"
"good","bagus ; baik ; elok ; syabas"
"good","baguslah"
"good","baik"
"good","barangan"
"good","elok"
"good","enak"
"good","kebaikan"
"good","kebajikan"
"good","manis"
"woman","betina"
"woman","perempuan"
"woman","perempuan , wanita ."
"woman","perempuan ; wanita"
"woman","wanita"
"woman","wanitalah"
"through","lewat"
"through","lulus"
"through","melalui"
"through","menembusi"
"through","menerusi"
"through","selesai"
"through","siap , melalui ."
"us","kami"
"us","kami ; kita"
"us","kita"
"life","hayat"
"life","hayat ; hidup ; jana ; kehidupan ; nyawa"
"life","hidup"
"life","kehidupan"
"life","kehidupanlah"
"life","nyawa"
"life","penghidupan"
"child","anak"
"child","anak ; budak ; kanak-kanak"
"child","budak"
"child","kanak"
"there","ada"
"there","dari sana"
"there","di sana"
"there","itulah!"
"there","ke sana"
"there","nampaknya"
"there","sana"
"work","amal"
"work","bekerja"
"work","bekerja ; berkhidmat"
"work","bekerjalah"
"work","berkerja"
"work","bertugas"
"down","bawah"
"down","bulu lembut"
"down","cengkeram"
"down","di bawah"
"down","jatuh"
"down","jatuhkan"
"down","kalahkan"
"down","ke bawah"
"down","mengalahkan"
"may","barangkali , mungkin ."
"may","boleh"
"may","bulan mei"
"may","harus"
"may","izin"
"may","kebolehjadian"
"after","berikutan"
"after","kemudian"
"after","lepas"
"after","sebentar kemudian"
"after","selepas"
"after","selepas , kemudian ."
"after","sesudah"
"after","setelah"
"should","harus"
"should","hendaklah"
"should","jika"
"should","patut"
"world","alam"
"world","alam ; dunia ; jagat"
"world","dunia"
"world","jagat"
"world","maya"
"over","atas"
"over","balingan"
"over","berakhir"
"over","di atas"
"over","lampau"
"over","melalui"
"over","melampau"
"over","mengenai"
"over","menyeberangi"
"over","ripe (of fruit)"
"school","aliran"
"school","fahaman"
"school","kawan"
"school","kumpulan"
"school","mazhab"
"school","melatih"
"school","mendisplinkan"
"school","mengawal"
"school","puak"
"school","sekolah"
"still","foto pegun"
"still","juga"
"still","kesenyapan"
"still","kesunyian"
"still","ketenangan"
"still","lagi"
"still","lagi ; masih ; namun ; tenang"
"try","adili"
"try","berikhtiar"
"in","dalam"
"in","dalam ; pada"
"in","di"
"in","di dalam"
"in","inci"
"in","laws"
"in","masuk"
"as","bak"
"as","laksana"
"last","akhir"
"last","akhir ; penghabisan ; terkemudian"
"last","berakhir"
"last","corot"
"last","i) terakhir , yang penghabisan (ii) tahan , terus berlaku , berlanjutan ."
"last","mengakhiri"
"last","penamat"
"ask","ajak"
"ask","bersoal"
"ask","bertanya"
"ask","bertanyalah"
"ask","diajak"
"ask","mempersoal"
"need","butuh"
"need","butuhkan"
"need","dibutuhkan"
"need","hendak"
"need","kebutuhan"
"need","keperluan"
"need","mahu"
"need","membutuhkan"
"too","juga"
"too","juga ; pula"
"too","pula"
"too","pun"
"too","terlalu"
"too","terlampau"
"feel","berasa"
"feel","meraba"
"feel","merasa"
"feel","merasai"
"feel","merasakan"
"feel","perasaan"
"feel","raba"
"three","tiga"
"when","apabila"
"when","apabila ; apakala ; bila ; demi ; ketika ; tatkala"
"when","bila"
"when","bilamana"
"when","demi"
"when","kapan"
"when","ketika"
"when","manakala"
"when","pabila"
"when","tatkala"
"state","California"
"state","Florida"
"state","Hawaii"
"state","i) negara , negeri (ii) menerangkan , menyatakan (iii) keadaan ."
"state","istiadat rasmi"
"state","keadaan"
"state","keadaan ; nyatakan"
"never","tidak"
"become","jadi"
"become","menjadi"
"between","antara"
"between","di antara"
"between","diantara"
"between","ke antara"
"high","atas"
"high","besar"
"high","luhur"
"high","mabuk"
"high","mulia"
"high","nyaring"
"high","taala"
"high","tekanan tinggi"
"high","terhormat"
"really","benar"
"really","benar-benar , sebenarnya , sungguh?-sungguh ."
"really","benar-benar ; beria-ia ; betul-betul ; sungguh-sungguh"
"really","sebenarnya"
"really","sesungguhnya"
"really","sungguh"
"something","sesuatu"
"most","kebanyakan"
"most","paling"
"most","secara kebanyakan"
"most","yang paling"
"another","berbeza"
"another","lagi"
"another","lagi satu , yang lain ."
"another","lain"
"another","sebuah lagi"
"another","yang lain"
"much","banyak"
"much","banyak-banyak"
"much","dengan banyaknya"
"much","kebanyakan"
"family","famili"
"family","kekeluargaan"
"family","kekeluargaan ; keluarga ; suku-sakat"
"family","kelamin"
"family","keluarga"
"family","keluarga , pamili ."
"family","keluarga , rumpun ."
"family","rumahtangga"
"own","ada"
"own","adalah"
"own","dimiliki"
"own","kendiri"
"own","memiliki"
"own","mempunyai"
"own","milik"
"own","milik ; punya"
"own","miliki"
"out","keluar"
"out","ketahuan"
"out","luar"
"out","melebihi"
"out","of"
"out","pengsan"
"out","spoken"
"out","tanpa"
"out","terbit"
"leave","berangkat"
"leave","berangkat ; tinggal"
"leave","beredar"
"leave","bertolak"
"leave","cuti"
"leave","i) cuti (ii) berlepas"
"leave","izin"
"leave","kebenaran"
"leave","membiarkan"
"while","ketika"
"while","masa"
"while","menghabiskan waktu"
"while","sambil"
"while","sambil ; sedang ; sementara ; seraya ; sewaktu"
"while","sedang"
"while","semasa"
"while","seraya"
"while","sewaktu"
"mean","bakhil"
"mean","bererti"
"mean","bermakna"
"mean","bermaksud"
"mean","bermaksud , tengah , berarti ."
"mean","bertujuan"
"mean","hina"
"mean","hina ; lokek"
"on","1 . 100 grams . 2 . ounce . -AN by the ounce"
"on","alas"
"on","atas"
"on","berlangsung"
"on","buka"
"on","di"
"on","di atas"
"on","hidup"
"keep","biar"
"keep","disimpan"
"keep","halang"
"keep","jaga"
"keep","kekalkan"
"keep","menara utama"
"student","mahasiswa"
"student","murid"
"student","murid ; pelajar"
"student","pelajar"
"student","penuntut"
"student","siswa"
"why","kenapa"
"why","kenapa ; mengapa"
"why","kenapalah"
"why","kok"
"why","mengapa"
"why","mengapalah"
"let","agakan"
"let","biar"
"let","cabaran"
"let","let"
"let","melepaskan"
"let","membiarkan"
"let","pembiaran"
"let","perintah"
"great","agung"
"great","amat sangat , maha , besar ."
"great","banyak"
"great","besar"
"great","besar , raya ."
"great","best"
"great","gedang"
"great","grandparent"
"great","hebat"
"great","hebat ; maha ; raya"
"same","sama"
"same","sama , serupa ."
"same","sama ; se"
"same","samalah"
"same","semacam"
"same","serupa"
"big","besar"
"big","besar , raya ."
"big","besarlah"
"big","gede"
"big","headed"
"big","lebar"
"big","luas"
"group","berhimpun"
"group","berkumpul"
"group","golongan"
"group","golongan ; gugusan ; kaum ; kelompok ; kumpulan ; puak ; regu"
"begin","bermula"
"begin","dimulai"
"begin","memulai"
"begin","memulakan"
"begin","mewujudkan"
"begin","mula"
"seem","kelihatan"
"seem","merupai"
"seem","nampaknya"
"seem","rasanya"
"seem","serupa"
"country","darat , negeri , tanah ."
"country","desa"
"country","kampung"
"country","negara"
"country","negara ; negeri"
"country","negeri"
"country","pedesaan"
"country","tanah air"
"help","bantu"
"help","bantu , membantu , bantuan , bantu , membantu , bantuan ."
"help","bantuan"
"help","dibantu"
"help","ditolong"
"talk","berbicara"
"talk","berbicara , berbincang , bercakap , membicarakan ; percakapan , ucapan ."
"talk","berbincang"
"talk","berbual"
"talk","bercakap"
"talk","bercakap ; memperkatakan ; tutur"
"where","dari mana"
"where","di mana"
"where","dimana"
"where","ke mana"
"where","mana"
"problem","kesukaran"
"problem","kesulitan"
"problem","masalah"
"problem","persoalan"
"problem","soal"
"every","saban"
"every","saban ; segala ; tiap"
"every","segenap"
"every","seluruh"
"every","semua"
"every","setaip"
"every","setiap"
"every","tiap"
"every","tiap-tiap"
"start","bermula"
"start","bertolak memulakan"
"start","i) gerak mendadak , tersentak (ii) tempat permulaan ; bermula ."
"start","menghidupkan ; mulai"
"start","mula"
"start","mulai"
"start","pemula"
"start","permulaan"
"hand","bersua"
"hand","kawalan"
"hand","mcngunjukkan"
"hand","menghulur"
"hand","pekerja"
"hand","pengaruh"
"hand","pinangan"
"hand","tandatangan"
"might","boleh jadi"
"might","kegagahan"
"might","kegagahan ; kekerasan"
"might","kekuasaan"
"might","kekuatan"
"might","mungkin"
"part","adegan"
"part","bahagian"
"part","belahan rambut"
"part","berbelah"
"part","bercerai"
"part","bererak , bercerai , mencerai , separuh ; sebahagian ."
"part","berpihak"
"about","berkenaan"
"about","berkenaan , lebih kurang , berkeliling ,di mana-mana ."
"about","fasal"
"about","fasal ; memperkatakan ; tentang ; terhadap"
"about","hampir"
"about","kira-kira"
"about","kurang lebih"
"against","anti"
"against","bertentangan"
"against","kepada"
"against","lawan"
"against","terhadap"
"against","terhadap , bertentangan dengan , lawan ."
"over","atas"
"over","balingan"
"over","berakhir"
"over","di atas"
"over","lampau"
"over","melalui"
"over","melampau"
"over","mengenai"
"over","menyeberangi"
"over","ripe (of fruit)"
"such","begini , begitu ."
"such","demikian"
"again","balik"
"again","lagi"
"again","lagi , pula , lagi ."
"again","lagi ; pula"
"again","sekali lagi , semula ."
"again","semula"
"few","beberapa"
"few","sedikit"
"case","beg"
"case","bekas"
"case","hal"
"case","i) peti , almari (ii) hal , perkara , peristiwa , kes ."
"case","kasus"
"case","keadaan"
"case","kejadian"
"case","kes"
"case","kes / kasus"
"most","kebanyakan"
"most","paling"
"most","secara kebanyakan"
"most","yang paling"
"week","minggu"
"week","pekan"
"company","firma"
"company","kompeni"
"company","persekutuan , syarikat , perkongsian , teman , rakan ."
"company","syarikat"
"company","teman"
"where","dari mana"
"where","di mana"
"where","dimana"
"where","ke mana"
"where","mana"
"system","aturan"
"system","cara"
"system","sistem"
"system","tata"
"system","tata ; tertib"
"each","masing-masing"
"each","saban"
"each","satu demi satu"
"each","sebilang"
"each","sendiri"
"each","sendiri-sendiri ; tiap"
"right","adil"
"right","baik"
"right","benar"
"right","benar , betul ."
"right","betul"
"right","elok"
"right","hak"
"program","acara"
"program","atur cara ; rancangan"
"program","aturcara / program"
"program","bagan , acara , program ."
"program","bill"
"program","memprogram"
"program","merancang"
"program","program"
"hear","dengar"
"hear","dengar , dapat khabar , membicarakan ."
"hear","didengar"
"hear","mendengar"
"hear","mendengarkan"
"so","begini"
"so","begini , begitu , begini , begitu , begini , begitu ."
"so","begitu"
"so","begitu ; jadi-nya ; maka"
"so","demikian"
"so","itu"
"so","jadi"
"question","bertanya"
"question","masalah"
"question","menanya"
"question","menyoal"
"question","persoalan"
"question","pertanyaan"
"during","ketika"
"during","selama"
"during","semasa"
"during","sepanjang"
"during","sewaktu"
"work","amal"
"work","bekerja"
"work","bekerja ; berkhidmat"
"work","bekerjalah"
"work","berkerja"
"work","bertugas"
"play","berkeneker"
"play","berlakon"
"play","bermain"
"play","bermain ; permainan"
"play","bertanding"
"play","lakonan"
"government","kerajaan"
"government","pemerintah"
"government","pemerintahan"
"run","berfungsi"
"run","bergerak"
"run","berjalan"
"run","berlari"
"run","berlumba"
"run","jalankan"
"run","jenis"
"small","katik"
"small","katik ; kecil"
"number","angka"
"number","berjumlah"
"number","bilangan"
"number","bilangan ; nombor"
"number","jumlah"
"number","membilang"
"number","mengira"
"number","no"
"off","busuk"
"off","di luar"
"off","di samping"
"off","di tepi"
"off","dibatalkan"
"off","ditarik"
"off","ditekan"
"off","mati"
"off","medak"
"always","selalu"
"always","selalu , sentiasa , setiap kali ."
"always","selalulah"
"always","selalunya"
"always","selamanya"
"always","senantiasa"
"always","sentiasa"
"night","malam"
"night","malamlah"
"night","malem"
"live","bermastautin"
"live","bernyawa"
"live","diam"
"live","hidup"
"live","hidupi"
"live","langsung"
"live","menghidupkan"
"live","tinggal"
"Mr","Encik"
"Mr","Tuan"
"point","butir"
"point","ditunjuk"
"point","hujung"
"point","ketika"
"point","mata"
"point","menajamkan"
"point","mengarahkan"
"point","menghalakan"
"believe","caya"
"believe","mempercayai"
"believe","meyakini"
"believe","meyakini ; percaya"
"believe","percaya"
"believe","percayailah"
"believe","percayalah"
"hold","adakan"
"hold","celus"
"hold","diadakan"
"today","hari ini"
"today","sekarang"
"happen","berlaku"
"happen","berlaku , terjadi ."
"happen","jadi"
"happen","kejadian"
"happen","laku"
"happen","menjadi"
"happen","terjadi"
"next","berikut"
"next","berikutnya"
"next","dekat"
"next","hampir"
"next","kemudian"
"next","lain"
"without","dengan tiada"
"without","tanpa"
"large","besar"
"large","besar , raya ."
"large","dengan besar"
"large","dengan luas"
"large","gedang"
"large","luas"
"all","keseluruhan"
"all","kesemua"
"million","juta"
"must","hams"
"must","harus"
"must","harus ; mesti"
"must","kemestian"
"must","mesti"
"must","musti"
"must","wajib"
"home","berumah"
"home","di rumah"
"home","kediaman"
"home","negara"
"home","rehat"
"home","rumah"
"home","rumah tangga"
"under","bawah"
"under","di bawah"
"under","rendah"
"water","air"
"water","air ; mengairi"
"water","air matang"
"water","air putih"
"water","air rebus"
"water","air sungai"
"water","airlah"
"room","bilik"
"room","bilik ; kamar"
"room","kamar"
"room","ruang"
"room","tempat"
"write","ditulis"
"write","mencatat"
"write","mengarang"
"write","menulis"
"write","menulisi"
"write","suratkan"
"mother","bonda"
"mother","bonda ; emak ; ibu ; mak"
"mother","bu"
"mother","emak"
"mother","emak , mak"
"area","Baltic"
"area","bidang"
"area","daerah"
"area","Galicia"
"area","kawasan"
"area","kawasan , daerah , luas ."
"area","kawasan ; keluasan"
"national","kebangsaan"
"national","kebangsaan , nasional ."
"national","nasional"
"national","rakyat"
"national","wargenegara"
"money","box"
"money","duit"
"money","duit , uang ."
"money","duit ; wang"
"money","uang"
"money","uanglah"
"money","wang"
"money","wang terbiar"
"story","cereka"
"story","cereka ; cerita ; hikayat ; kisah ; rencana ; riwayat"
"story","cerita"
"story","ceritera"
"story","kisah"
"story","plot"
"story","riwayat"
"story","sejarah"
"young","anak"
"young","cewek"
"young","cowok"
"young","mentah"
"young","muda"
"young","pemuda"
"fact","butir"
"fact","fakta"
"fact","fakta , kenyataan ."
"fact","kenyataan"
"fact","kenyataan , hal , perkara , hakikat ."
"month","bulan"
"different","berbeza"
"different","berbeza / berlainan"
"different","berbezanya"
"different","berlainan"
"different","lain"
"lot","bahagian"
"lot","banyak"
"lot","banyaknya"
"lot","habuan"
"lot","kelompok"
"lot","kumpulan"
"lot","lot"
"lot","semuanya"
"lot","undian"
"right","adil"
"right","baik"
"right","benar"
"right","benar , betul ."
"right","betul"
"right","elok"
"right","hak"
"study","bahan"
"study","belajar"
"study","benda"
"study","gambar"
"study","ijtihad"
"book","buku"
"book","buku , kitab ."
"book","buku ; kitab ; pustaka"
"book","kitab"
"book","membukukan"
"book","menempah"
"book","tempah"
"eye","lihat"
"eye","liner"
"eye","mata"
"eye","memandang"
"eye","memerhati"
"eye","pandang"
"eye","pandangan"
"eye","perhati"
"job","jawatan"
"job","jawatan ; perjawatan"
"job","job"
"job","kerja"
"job","pekerjaan"
"word","arahan"
"word","berita"
"word","berkata"
"word","berucap"
"word","istilah"
"word","janji"
"word","kata"
"word","kata ; perkataan"
"though","bagaimanapun"
"though","meskipun"
"though","sungguhpun"
"though","walaupun"
"business","bisnes"
"business","bisnis"
"business","hal"
"business","kesibukan"
"business","niaga"
"business","pekerjaan"
"business","perdagangan"
"business","perkara"
"business","perniagaan"
"issue","alir"
"issue","aliran"
"issue","baka"
"issue","bekalkan"
"issue","dikeluarkan"
"issue","hantar"
"issue","hasil"
"issue","hasilan"
"issue","isu"
"side","aspek"
"side","bahagian"
"side","by"
"side","memihak"
"kind","bagai"
"kind","baik"
"kind","baik , baik-haiti , jenis , macam ."
"kind","baik hati"
"kind","berbudi"
"kind","berbudi ; jenis ; macam"
"kind","jenis"
"four","ampat"
"four","empat"
"head","akal"
"head","arah"
"head","dress"
"head","hala"
"head","hulu"
"head","kepala"
"head","kepala , ketua ; mengetuai ."
"head","kepala ; parliment"
"far","berjauhan"
"far","jauh"
"far","larut"
"black","gelap"
"black","hitam"
"black","menghitamkan"
"black","mengisytiharkan"
"long","bladed grass"
"long","coffin"
"long","ingin"
"long","jauh"
"both","berdua"
"both","dua-dua"
"both","kedua"
"both","kedua belah"
"both","kedua-dua"
"little","dengan secara kecilan"
"little","dengan sedikit"
"little","kecil"
"little","kenik"
"little","kepalang"
"little","secebis"
"little","sedikit"
"little","sekelumit"
"little","si kenik"
"house","bait"
"house","gedung"
"house","gudang"
"house","kediaman"
"house","keluarga"
"house","kerabat"
"house","melindungi"
"house","merumahkan"
"house","rumah"
"yes","benar"
"yes","betul"
"yes","iya"
"yes","ya"
"yes","ye"
"after","berikutan"
"after","kemudian"
"after","lepas"
"after","sebentar kemudian"
"after","selepas"
"after","selepas , kemudian ."
"after","sesudah"
"after","setelah"
"since","kerana"
"since","oleh kerana"
"since","sejak"
"since","sejak ; semenjak"
"since","selepas"
"since","selepas itu"
"since","semenjak"
"long","bladed grass"
"long","coffin"
"long","ingin"
"long","jauh"
"provide","bekalkan"
"provide","disediakan"
"provide","melengkapi"
"service","bakti"
"service","bantuan"
"service","Hotmail"
"service","jabatan"
"service","jasa"
"service","jasa ; layanan ; perkhidmatan"
"service","jawatan"
"service","keagamaan layanan"
"around","berkeliling ; keliling"
"around","dekat"
"around","di sekeliling"
"around","kira-kira"
"around","kurang lebih"
"around","lebih kurang"
"around","sekeliling"
"around","sekiling"
"around","sekitar"
"around","seputar"
"friend","handai"
"friend","handai ; kawan ; rakan ; sahabat ; taulan ; teman"
"friend","kawan"
"friend","rakan"
"friend","sahabat"
"friend","taulan"
"friend","teman"
"important","mustahak"
"important","mustahak ; penting"
"important","penting"
"important","penting , mustahak ."
"father","abah"
"father","abah ; ayah ; bapa ; pak"
"sit","bersidang"
"sit","bertenggek"
"sit","duduk"
"sit","duduk ; semayam"
"sit","duduklah"
"sit","menduduki"
"away","berterusan"
"away","hilang"
"away","jauh"
"away","jauh ; pergilah ; nyah"
"away","kehilangan"
"away","keluar"
"away","menghilang"
"until","hingga"
"until","hingga ; sampai"
"until","sampai"
"until","sampe"
"until","sehingga"
"power","daya"
"power","daya ; kehebatan ; kekerasan ; kekuasaan ; kekuatan ; kuasa ; tenaga ; wenang"
"power","ganda"
"power","kekuasaan"
"power","kekuatan"
"hour","jam"
"hour","jam ; pukul"
"hour","waktu"
"game","berani"
"game","berjudi"
"game","bersedia"
"game","bertaruh"
"game","buruan"
"game","cacat"
"often","acap kali"
"often","acapkali"
"often","acapkali ; sering ; seringkali"
"often","kerap"
"yet","belum"
"yet","kelak"
"yet","lagi"
"yet","masih , sudah ."
"yet","meskipun"
"yet","namun"
"yet","namun ; pula ; tetapi"
"yet","sudah"
"yet","tetapi"
"political","berpolitik"
"political","kepolitikan , perihal politik ."
"political","politik"
"political","politikal"
"political","politis"
"end","akhir"
"end","berakhir"
"end","berakhir , akhir ."
"end","had"
"among","antara"
"among","di antara"
"among","di antara , di tengah ."
"among","di tengah-tengah"
"among","dikelilingi"
"ever","pernah"
"ever","selalu"
"ever","selamanya"
"ever","sentiasa"
"stand","bangkit , bangkit ."
"stand","bangun"
"stand","bangun ; diri ; ganjal"
"stand","berdiri"
"stand","i) berdiri (ii) penyangga"
"stand","standar"
"bad","buruk"
